codigo_entidad,nombre_entidad,monto_01_tgn_detalle,monto_02_tgn_p_detalle,monto_03_tgn_ct_detalle,monto_04_recon_detalle,monto_05_tgn_fcom_detalle,monto_06_tgn_pg_n_detalle,monto_07_tgn_iehd_detalle,monto_08_tgn_idh_detalle,monto_09_tgn_ipj_detalle,monto_10_tgn_ppet_detalle,monto_11_ot_gob_detalle,monto_12_total_tgn_detalle,monto_13_otros_ingresos_detalle,monto_14_recursos_especificos_detalle,monto_15_donaciones_internas_detalle,monto_16_credito_externo_detalle,monto_17_donaciones_externas_detalle,total_detalle,monto_01_tgn_pdf,monto_02_tgn_p_pdf,monto_03_tgn_ct_pdf,monto_04_recon_pdf,monto_05_tgn_fcom_pdf,monto_06_tgn_pg_n_pdf,monto_07_tgn_iehd_pdf,monto_08_tgn_idh_pdf,monto_09_tgn_ipj_pdf,monto_10_tgn_ppet_pdf,monto_11_ot_gob_pdf,monto_12_total_tgn_pdf,monto_13_otros_ingresos_pdf,monto_14_recursos_especificos_pdf,monto_15_donaciones_internas_pdf,monto_16_credito_externo_pdf,monto_17_donaciones_externas_pdf,total_pdf,monto_01_tgn_diff,monto_02_tgn_p_diff,monto_03_tgn_ct_diff,monto_04_recon_diff,monto_05_tgn_fcom_diff,monto_06_tgn_pg_n_diff,monto_07_tgn_iehd_diff,monto_08_tgn_idh_diff,monto_09_tgn_ipj_diff,monto_10_tgn_ppet_diff,monto_11_ot_gob_diff,monto_12_total_tgn_diff,monto_13_otros_ingresos_diff,monto_14_recursos_especificos_diff,monto_15_donaciones_internas_diff,monto_16_credito_externo_diff,monto_17_donaciones_externas_diff,total_diff
1119,Gobierno Autónomo Municipal de Camargo,45713,0,12231255,0,0,0,3492078,0,0,0,15769046,0,2356179,0,0,0,0,18125225,45713,0,12231255,0,0,0,3492078,0,0,0,15769046,0,2356179,0,0,0,0,18125225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,Gobierno Autónomo Municipal de San Lucas,15028901,0,22019917,0,0,0,6286783,0,0,0,43335601,0,4406577,0,921827,0,0,48664005,15028901,0,22019917,0,0,0,6286783,0,0,0,43335601,0,4406577,0,921827,0,0,48664005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,Gobierno Autónomo Municipal de Incahuasi,2485222,0,13560631,0,0,0,3871620,0,0,0,19917473,0,215920,0,0,0,0,20133393,2485222,0,13560631,0,0,0,3871620,0,0,0,19917473,0,215920,0,0,0,0,20133393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,Gobierno Autónomo Municipal de Villa Serrano,2347076,0,7449992,0,0,0,2127006,0,0,0,11924074,0,1000109,0,0,0,0,12924183,2347076,0,7449992,0,0,0,2127006,0,0,0,11924074,0,1000109,0,0,0,0,12924183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),12563,0,4465339,0,0,0,1274874,0,0,0,5752776,0,330000,0,0,0,0,6082776,12563,0,4465339,0,0,0,1274874,0,0,0,5752776,0,330000,0,0,0,0,6082776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,Gobierno Autónomo Municipal de Culpina,4132799,0,12360950,0,0,0,3529106,0,0,0,20022855,0,1885106,0,0,0,0,21907961,4132799,0,12360950,0,0,0,3529106,0,0,0,20022855,0,1885106,0,0,0,0,21907961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,Gobierno Autónomo Municipal de Las Carreras,8119042,0,4162717,0,0,0,1188474,0,0,0,13470233,0,545116,0,0,0,0,14015349,8119042,0,4162717,0,0,0,1188474,0,0,0,13470233,0,545116,0,0,0,0,14015349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,1343250,0,10970884,0,0,0,3132236,0,0,0,15446370,0,921865,0,0,0,0,16368235,1343250,0,10970884,0,0,0,3132236,0,0,0,15446370,0,921865,0,0,0,0,16368235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,Gobierno Autónomo Municipal de Machareti,748193,0,6023344,0,0,0,1719692,0,0,0,8491229,0,778177,0,0,0,0,9269406,748193,0,6023344,0,0,0,1719692,0,0,0,8491229,0,778177,0,0,0,0,9269406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,Gobierno Autónomo Municipal de Villa Charcas,37800,0,12176128,0,0,0,3305035,0,0,0,15518963,0,1600000,0,0,0,0,17118963,37800,0,12176128,0,0,0,3305035,0,0,0,15518963,0,1600000,0,0,0,0,17118963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,Gobierno Autónomo Municipal de La Paz,1544620,0,643919065,0,0,0,68584714,0,0,0,714048399,0,983935706,9505508,16309525,379852,0,1724178990,1544620,0,643919065,0,0,0,68584714,0,0,0,714048399,0,983935706,9505508,16309525,379852,0,1724178990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,Gobierno Autónomo Municipal de Palca,3146385,0,17991884,0,0,0,1875037,0,0,0,23013306,0,13812043,0,1776593,0,0,38601942,3146385,0,17991884,0,0,0,1875037,0,0,0,23013306,0,13812043,0,1776593,0,0,38601942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,Gobierno Autónomo Municipal de Mecapaca,11430,0,17005868,0,0,0,1772278,0,0,0,18789576,0,8442191,0,0,0,0,27231767,11430,0,17005868,0,0,0,1772278,0,0,0,18789576,0,8442191,0,0,0,0,27231767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,6182122,0,38299991,0,0,0,3991459,0,0,0,48473572,0,62000000,0,0,0,0,110473572,6182122,0,38299991,0,0,0,3991459,0,0,0,48473572,0,62000000,0,0,0,0,110473572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,Gobierno Autónomo Municipal de El Alto de La Paz,57090357,0,875554634,0,0,0,86201057,0,0,0,1018846048,0,471726993,0,0,0,0,1490573041,57090357,0,875554634,0,0,0,86201057,0,0,0,1018846048,0,471726993,0,0,0,0,1490573041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,Gobierno Autónomo Municipal de Viacha,5769461,0,104717499,0,0,0,9829884,0,0,0,120316844,0,65345028,0,0,0,0,185661872,5769461,0,104717499,0,0,0,9829884,0,0,0,120316844,0,65345028,0,0,0,0,185661872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,Gobierno Autónomo Municipal de Guaqui,19350,0,7149032,0,0,0,745042,0,0,0,7913424,0,880000,0,0,0,0,8793424,19350,0,7149032,0,0,0,745042,0,0,0,7913424,0,880000,0,0,0,0,8793424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,Gobierno Autónomo Municipal de Tiahuanacu,448007,0,11280157,0,0,0,1175570,0,0,0,12903734,0,575971,0,0,0,0,13479705,448007,0,11280157,0,0,0,1175570,0,0,0,12903734,0,575971,0,0,0,0,13479705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,Gobierno Autónomo Municipal de Desaguadero,11663,0,6540463,0,0,0,681618,0,0,0,7233744,0,6203153,0,0,0,0,13436897,11663,0,6540463,0,0,0,681618,0,0,0,7233744,0,6203153,0,0,0,0,13436897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,Gobierno Autónomo Municipal de Caranavi,24755913,0,49079657,0,0,0,5114870,0,0,0,78950440,0,8946846,0,0,0,0,87897286,24755913,0,49079657,0,0,0,5114870,0,0,0,78950440,0,8946846,0,0,0,0,87897286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),5127962,0,27889457,0,0,0,2906519,0,0,0,35923938,0,2611631,0,0,0,0,38535569,5127962,0,27889457,0,0,0,2906519,0,0,0,35923938,0,2611631,0,0,0,0,38535569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,Gobierno Autónomo Municipal de Umala,5961610,0,7499874,0,0,0,781605,0,0,0,14243089,0,400000,0,0,0,0,14643089,5961610,0,7499874,0,0,0,781605,0,0,0,14243089,0,400000,0,0,0,0,14643089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,Gobierno Autónomo Municipal de Ayo Ayo,23802,0,9353851,0,0,0,974818,0,0,0,10352471,0,1004989,0,0,0,0,11357460,23802,0,9353851,0,0,0,974818,0,0,0,10352471,0,1004989,0,0,0,0,11357460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,Gobierno Autónomo Municipal de Calamarca,13510799,0,12702647,0,0,0,1323816,0,0,0,27537262,0,10000000,0,0,0,0,37537262,13510799,0,12702647,0,0,0,1323816,0,0,0,27537262,0,10000000,0,0,0,0,37537262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,Gobierno Autónomo Municipal de Patacamaya,748309,0,20825225,0,0,0,2170315,0,0,0,23743849,0,5000000,0,0,0,0,28743849,748309,0,20825225,0,0,0,2170315,0,0,0,23743849,0,5000000,0,0,0,0,28743849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,Gobierno Autónomo Municipal de Colquencha,1238448,0,10262549,0,0,0,1069519,0,0,0,12570516,0,376830,0,0,0,0,12947346,1238448,0,10262549,0,0,0,1069519,0,0,0,12570516,0,376830,0,0,0,0,12947346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,Gobierno Autónomo Municipal de Collana,3417482,0,4593372,0,0,0,478702,0,0,0,8489556,0,343976,0,0,0,0,8833532,3417482,0,4593372,0,0,0,478702,0,0,0,8489556,0,343976,0,0,0,0,8833532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,Gobierno Autónomo Municipal de Inquisivi,2856682,0,15600005,0,0,0,1625765,0,0,0,20082452,0,2934238,0,269476,0,0,23286166,2856682,0,15600005,0,0,0,1625765,0,0,0,20082452,0,2934238,0,269476,0,0,23286166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,Gobierno Autónomo Municipal de Quime,14813,0,9298148,0,0,0,969013,0,0,0,10281974,0,1957954,0,0,0,0,12239928,14813,0,9298148,0,0,0,969013,0,0,0,10281974,0,1957954,0,0,0,0,12239928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,Gobierno Autónomo Municipal de Cajuata,1748948,0,12873912,0,0,0,1341664,0,0,0,15964524,0,826375,0,0,0,0,16790899,1748948,0,12873912,0,0,0,1341664,0,0,0,15964524,0,826375,0,0,0,0,16790899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,Gobierno Autónomo Municipal de Colquiri,5225,0,19500838,0,0,0,2032293,0,0,0,21538356,0,8292402,0,120338,0,0,29951096,5225,0,19500838,0,0,0,2032293,0,0,0,21538356,0,8292402,0,120338,0,0,29951096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,Gobierno Autónomo Municipal de Ichoca,198839,0,7928035,0,0,0,826226,0,0,0,8953100,0,521180,0,11870,0,0,9486150,198839,0,7928035,0,0,0,826226,0,0,0,8953100,0,521180,0,11870,0,0,9486150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,11175,0,6689378,0,0,0,675034,0,0,0,7375587,0,100000,0,0,0,0,7475587,11175,0,6689378,0,0,0,675034,0,0,0,7375587,0,100000,0,0,0,0,7475587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,Gobierno Autónomo Municipal de Achacachi,36902,0,39128045,0,0,0,4077756,0,0,0,43242703,0,1689700,0,135564,0,0,45067967,36902,0,39128045,0,0,0,4077756,0,0,0,43242703,0,1689700,0,135564,0,0,45067967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225,Gobierno Autónomo Municipal de Ancoraimes,5267775,0,14050314,0,0,0,1464263,0,0,0,20782352,0,1682533,0,0,0,0,22464885,5267775,0,14050314,0,0,0,1464263,0,0,0,20782352,0,1682533,0,0,0,0,22464885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,Gobierno Autónomo Municipal de Sorata,3131183,0,25958013,0,0,0,3101016,0,0,0,32190212,0,6275517,0,0,0,0,38465729,3131183,0,25958013,0,0,0,3101016,0,0,0,32190212,0,6275517,0,0,0,0,38465729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,Gobierno Autónomo Municipal de Guanay,104297,0,13612177,0,0,0,1418602,0,0,0,15135076,0,5475015,0,0,0,0,20610091,104297,0,13612177,0,0,0,1418602,0,0,0,15135076,0,5475015,0,0,0,0,20610091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,Gobierno Autónomo Municipal de Tacacoma,19313,0,8068538,0,0,0,840869,0,0,0,8928720,0,1694394,0,9202,0,0,10632316,19313,0,8068538,0,0,0,840869,0,0,0,8928720,0,1694394,0,9202,0,0,10632316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,Gobierno Autónomo Municipal de Tipuani,1616078,0,6351739,0,0,0,661951,0,0,0,8629768,0,4744710,0,0,0,0,13374478,1616078,0,6351739,0,0,0,661951,0,0,0,8629768,0,4744710,0,0,0,0,13374478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,Gobierno Autónomo Municipal de Quiabaya,51000,0,3509253,0,0,0,365719,0,0,0,3925972,0,355455,0,0,0,0,4281427,51000,0,3509253,0,0,0,365719,0,0,0,3925972,0,355455,0,0,0,0,4281427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,Gobierno Autónomo Municipal de Combaya,32750,0,2911491,0,0,0,303423,0,0,0,3247664,0,231325,0,0,0,0,3478989,32750,0,2911491,0,0,0,303423,0,0,0,3247664,0,231325,0,0,0,0,3478989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,Gobierno Autónomo Municipal de Copacabana,444724,0,15496744,0,0,0,1510270,0,0,0,17451738,0,1800104,0,0,0,0,19251842,444724,0,15496744,0,0,0,1510270,0,0,0,17451738,0,1800104,0,0,0,0,19251842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,9075,0,7563059,0,0,0,788189,0,0,0,8360323,0,200000,0,0,0,0,8560323,9075,0,7563059,0,0,0,788189,0,0,0,8360323,0,200000,0,0,0,0,8560323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,Gobierno Autónomo Municipal de Tito Yupanqui,4500,0,6245323,0,0,0,650861,0,0,0,6900684,0,50000,0,0,0,0,6950684,4500,0,6245323,0,0,0,650861,0,0,0,6900684,0,50000,0,0,0,0,6950684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,Gobierno Autónomo Municipal de Chuma,10450,0,14691307,0,0,0,1531065,0,0,0,16232822,0,204697,0,0,0,0,16437519,10450,0,14691307,0,0,0,1531065,0,0,0,16232822,0,204697,0,0,0,0,16437519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,Gobierno Autónomo Municipal de Ayata,1115671,0,7446666,0,0,0,776060,0,0,0,9338397,0,171596,0,0,0,0,9509993,1115671,0,7446666,0,0,0,776060,0,0,0,9338397,0,171596,0,0,0,0,9509993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,Gobierno Autónomo Municipal de Aucapata,14063,0,5586870,0,0,0,582239,0,0,0,6183172,0,260488,0,0,0,0,6443660,14063,0,5586870,0,0,0,582239,0,0,0,6183172,0,260488,0,0,0,0,6443660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,Gobierno Autónomo Municipal de Corocoro,2218904,0,11136328,0,0,0,1160581,0,0,0,14515813,0,968909,0,0,0,0,15484722,2218904,0,11136328,0,0,0,1160581,0,0,0,14515813,0,968909,0,0,0,0,15484722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,Gobierno Autónomo Municipal de Caquiaviri,4572,0,12856453,0,0,0,1339844,0,0,0,14200869,0,32870,0,0,0,0,14233739,4572,0,12856453,0,0,0,1339844,0,0,0,14200869,0,32870,0,0,0,0,14233739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,Gobierno Autónomo Municipal de Calacoto,3150,0,10023943,0,0,0,1044652,0,0,0,11071745,0,185468,0,0,0,0,11257213,3150,0,10023943,0,0,0,1044652,0,0,0,11071745,0,185468,0,0,0,0,11257213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,Gobierno Autónomo Municipal de Comanche,493946,0,4324005,0,0,0,450629,0,0,0,5268580,0,81195,0,0,0,0,5349775,493946,0,4324005,0,0,0,450629,0,0,0,5268580,0,81195,0,0,0,0,5349775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,Gobierno Autónomo Municipal de Charaña,1014661,0,3428609,0,0,0,357315,0,0,0,4800585,0,300000,0,0,0,0,5100585,1014661,0,3428609,0,0,0,357315,0,0,0,4800585,0,300000,0,0,0,0,5100585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,Gobierno Autónomo Municipal de Waldo Ballivián,2700,0,5451355,0,0,0,568117,0,0,0,6022172,0,341769,0,0,0,0,6363941,2700,0,5451355,0,0,0,568117,0,0,0,6022172,0,341769,0,0,0,0,6363941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,9000,0,3317204,0,0,0,345705,0,0,0,3671909,0,40000,0,0,0,0,3711909,9000,0,3317204,0,0,0,345705,0,0,0,3671909,0,40000,0,0,0,0,3711909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,Gobierno Autónomo Municipal de Santiago de Callapa,337022,0,6651938,0,0,0,710110,0,0,0,7699070,0,250884,0,0,0,0,7949954,337022,0,6651938,0,0,0,710110,0,0,0,7699070,0,250884,0,0,0,0,7949954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,Gobierno Autónomo Municipal de Puerto Acosta,3697053,0,11589430,0,0,0,1207801,0,0,0,16494284,0,1400480,0,0,0,0,17894764,3697053,0,11589430,0,0,0,1207801,0,0,0,16494284,0,1400480,0,0,0,0,17894764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,Gobierno Autónomo Municipal de Mocomoco,2350854,0,14676342,0,0,0,1529505,0,0,0,18556701,0,300000,0,0,0,0,18856701,2350854,0,14676342,0,0,0,1529505,0,0,0,18556701,0,300000,0,0,0,0,18856701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,Gobierno Autónomo Municipal de Carabuco,394689,0,14339634,0,0,0,1494414,0,0,0,16228737,0,2182572,0,0,0,0,18411309,394689,0,14339634,0,0,0,1494414,0,0,0,16228737,0,2182572,0,0,0,0,18411309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,Gobierno Autónomo Municipal de Apolo,16655,0,15835285,0,0,0,1650286,0,0,0,17502226,0,1331090,0,0,0,0,18833316,16655,0,15835285,0,0,0,1650286,0,0,0,17502226,0,1331090,0,0,0,0,18833316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,Gobierno Autónomo Municipal de Pelechuco,1700157,0,7476596,0,0,0,779178,0,0,0,9955931,0,1703548,0,0,0,0,11659479,1700157,0,7476596,0,0,0,779178,0,0,0,9955931,0,1703548,0,0,0,0,11659479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,Gobierno Autónomo Municipal de Luribay,16988,0,8796827,0,0,0,916767,0,0,0,9730582,0,891685,0,54894,0,0,10677161,16988,0,8796827,0,0,0,916767,0,0,0,9730582,0,891685,0,54894,0,0,10677161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
